caseid,version,maindate,cutoffym,state,zipcode,income1,income2,income3,income4,income5,income_original,income_flg,age,age_flg,disabled,dobyr,edu_cat,edu_cat_flg,employ_stat,employ_stat_flg,hisp_race,hisp_race_flg,male,male_flg,memovr18,memund18,memund18_flg,retired,student,workfull,workpart,wgt_m1,wgt_m2,wgt_m3_6,wgt_m7,wgt_m8,wgt_m9_12,wgt_partial
80009470,"0102","20130104","201207","TN","38109",10000,10000,10000,10000,10000,10000,0,55,0,-1,1957,2,0,3,0,2,0,0,0,1,2,0,1,-1,2,-1,0,0,0,11067.45206,12923.47654,22134.90278,0
80010476,"0111","20130202","201207","OH","44095",1983.1385,17064.071,10806.471,5855.6457,171.68124,-7,1,79,0,-1,1933,1,0,3,0,3,0,0,0,1,0,0,1,-1,2,-1,10562.31198,0,0,10205.04719,12136.52418,20410.09467,0
80011316,"0111","20130208","201207","MI","48201",44000,44000,44000,44000,44000,44000,0,29,0,-1,1983,3,0,1,0,3,0,0,0,1,0,0,-1,-1,1,-1,1703.48692,0,0,1700.923791,1916.145982,3401.847679,0
80012087,"0111","20130117","201207","SD","57005",68087.249,63953.314,64524.998,55791.467,67285.353,-7,1,67,0,-1,1945,2,0,3,0,3,0,0,0,1,0,0,1,-1,2,-1,3001.814072,0,0,2871.650544,3608.420876,5743.301016,.5483871
80012096,"0111","20130216","201207","PA","15010",55000,55000,55000,55000,55000,55000,0,24,0,2,1988,3,0,4,0,3,0,0,0,2,1,0,2,2,2,2,12021.3828,16675.8395,0,12170.5321,14825.32122,24341.06358,.5714286
80014344,"0111","20130122","201207","AZ","85018",150000,150000,150000,150000,150000,150000,0,24,0,-1,1988,1,0,1,0,3,0,0,0,2,0,0,-1,-1,1,-1,21623.93995,0,0,21460.97939,26551.78546,42921.95837,.7096774
80014492,"0111","20130226","201207","PA","19422",65000,65000,65000,65000,65000,65000,0,67,0,2,1945,1,0,2,0,3,0,0,0,1,0,0,2,2,2,1,5075.522461,7606.726703,0,4840.522849,6012.784119,9681.045832,.9285714
80023748,"0111","20130121","201207","CT","06704",11300,11300,11300,11300,11300,11300,0,47,0,1,1965,1,0,4,0,3,0,1,0,1,0,0,2,2,2,-1,114021.3539,0,0,109469.1787,132740.5027,218938.3519,.6774194
80025685,"0111","20130218","201207","MI","49229",60000,60000,60000,60000,60000,60000,0,59,0,-1,1953,1,0,1,0,3,0,0,0,3,0,0,-1,-1,1,-1,2229.917061,3215.91285,0,2151.715025,2470.215521,4303.430052,.6428571
80026208,"0111","20130121","201207","PA","15010",180000,180000,180000,180000,180000,180000,0,60,0,-1,1952,2,0,3,0,3,0,0,0,2,0,0,1,-1,2,-1,8732.067933,0,0,8342.667239,10119.55243,16685.33405,.6774194
80027287,"0111","20130115","201207","MO","63048",47000,47000,47000,47000,47000,47000,0,29,0,-1,1983,1,0,1,0,3,0,0,0,1,1,0,-1,-1,1,-1,6382.880379,0,0,6247.731092,7148.513029,12495.46274,.483871
80028499,"0111","20130202","201207","VA","20171",56088.874,56900.818,80663.541,73089.623,119035.89,-8,1,18,0,-1,1994,2,0,4,0,1,0,0,0,3,0,0,2,1,2,-1,5230.914239,0,0,5116.76087,5765.057716,10233.52164,0
80029432,"0111","20130116","201207","OH","43204",65000,65000,65000,65000,65000,65000,0,59,0,-1,1953,3,0,3,0,3,0,0,0,1,0,0,1,-1,2,-1,1395.649795,0,0,1373.766518,1552.792319,2747.532993,.516129
80029562,"0111","20130220","201207","NY","12863",160000,160000,160000,160000,160000,160000,0,60,0,-1,1952,2,0,3,0,3,0,0,0,2,0,0,1,-1,2,-1,8877.834534,12581.67639,0,8481.933476,10288.48066,16963.86651,.7142857
80030988,"0102","20130104","201207","KY","40242",35000,35000,35000,35000,35000,35000,0,67,0,-1,1945,3,0,3,0,3,0,0,0,2,0,0,1,-1,2,-1,0,0,0,546.9674319,640.4586992,1093.934861,0
80035282,"0111","20130127","201207","GA","30344",72862.722,58411.32,50971.264,66289.375,56402.801,-8,1,79,0,-1,1933,3,0,3,0,2,0,0,0,1,0,0,1,-1,2,-1,2694.570419,0,0,2669.143677,3142.541108,5338.287156,.8709677
80035394,"0111","20130121","201207","OH","45502",61390.217,55084.004,61108.467,57782.828,53079.488,-7,1,54,0,2,1958,1,0,2,0,3,0,0,0,2,0,0,2,2,2,1,2241.579598,0,0,2162.968564,2483.134828,4325.937129,.6774194
80041724,"0111","20130219","201207","PA","19044",88475.173,178519.18,136236.67,137436.21,119826.51,-7,1,62,0,-1,1950,3,0,3,0,3,0,0,0,1,0,0,1,-1,2,-1,6096.850331,8737.904967,0,5923.760606,6993.619093,11847.52102,.6785714
80043559,"0111","20130127","201207","NH","03801",65000,65000,65000,65000,65000,65000,0,65,0,2,1947,3,0,2,0,3,0,1,0,1,0,0,2,2,2,1,2522.201199,0,0,2415.341517,2935.644413,4830.683101,.8709677
80045759,"0111","20130130","201207","NY","14850",135000,135000,135000,135000,135000,135000,0,70,0,-1,1942,3,0,3,0,3,0,1,0,2,1,0,1,-1,2,-1,2666.719463,0,0,2553.736885,3103.852338,5107.47384,.9677419
80047481,"0111","20130121","201207","OH","44644",63418.123,95929.109,41490.14,65626.105,86006.376,-8,1,23,0,2,1989,3,0,2,0,3,0,1,0,5,0,0,2,2,2,1,2983.193573,0,0,3011.812624,3490.67712,6023.62519,.6774194
80048572,"0111","20130116","201207","MI","49424",20802.761,13505.954,12757.105,10027.257,23986.997,-8,1,76,0,-1,1936,2,0,3,0,3,0,1,0,2,0,0,1,-1,2,-1,864.7024228,0,0,836.0644015,1017.793541,1672.128821,.516129
80054014,"0111","20130226","201207","MI","49812",45000,45000,45000,45000,45000,45000,0,66,0,-1,1946,3,0,3,0,3,0,1,0,1,0,0,1,-1,2,-1,597.3004713,892.4113321,0,579.4769716,674.3060494,1158.953959,.9285714
80055365,"0111","20130207","201207","CA","95713",70000,70000,70000,70000,70000,70000,0,68,0,-1,1944,2,0,3,0,3,0,1,0,2,0,0,1,-1,2,-1,13240.26192,0,0,12484.50679,16131.35608,24969.01385,0
80058254,"0111","20130122","201207","OH","45647",12720,12720,12720,12720,12720,12720,0,59,0,-1,1953,1,0,3,0,3,0,1,0,2,0,0,1,-1,2,-1,25612.55039,0,0,24911.67893,28920.81767,49823.35659,.7096774
80062167,"0102","20130104","201207","MO","63348",50000,50000,50000,50000,50000,50000,0,80,0,-1,1932,1,0,3,0,3,0,0,0,1,0,0,1,-1,2,-1,0,0,0,1104.713921,1313.799629,2209.427873,0
80064611,"0102","20130104","201207","OR","97224",32000,32000,32000,32000,32000,32000,0,25,0,-1,1987,2,0,1,0,3,0,0,0,2,0,0,-1,-1,1,-1,0,0,0,12863.25598,15550.72303,25726.51244,0
80067948,"0111","20130129","201207","OH","43081",140000,140000,140000,140000,140000,140000,0,47,0,-1,1965,3,0,1,0,3,0,1,0,2,0,0,-1,-1,1,-1,1512.977752,0,0,1465.938944,1646.673673,2931.877888,.9354839
80071404,"0111","20130117","201207","AR","72642",22163.71,56714.165,27170.648,174643.74,23219.404,-7,1,64,0,-1,1948,2,0,3,0,3,0,0,0,2,0,0,1,-1,2,-1,5933.3111,0,0,5668.719084,6876.086312,11337.43787,.5483871
80071785,"0111","20130208","201207","OH","45638",0,0,0,0,0,0,0,54,0,1,1958,1,0,4,0,3,0,0,0,1,1,0,2,2,2,-1,2241.579598,0,0,2162.968564,2483.134828,4325.937129,0
80073444,"0111","20130125","201207","IN","47630",75000,75000,75000,75000,75000,75000,0,77,0,-1,1935,3,0,3,0,3,0,1,0,2,0,0,1,-1,2,-1,5441.914935,0,0,5279.527705,6143.501199,10559.05556,.8064516
80074106,"0111","20130211","201207","NY","11741",60000,60000,60000,60000,60000,60000,0,69,0,-1,1943,2,0,3,0,3,0,0,0,2,0,0,1,-1,2,-1,2757.019413,4118.020997,0,2637.470579,3314.158096,5274.941092,.3928571
80075309,"0111","20130122","201207","MA","02050",62548.554,62202.412,58089.064,65801.239,69809.364,-8,1,70,0,-1,1942,1,0,3,1,3,0,0,0,2,0,0,-8,-1,2,-1,5120.375738,0,0,4883.299394,6065.920141,9766.598923,.7096774
80079026,"0111","20130120","201207","NC","27107",65000,65000,65000,65000,65000,65000,0,36,0,2,1976,3,0,4,0,3,0,0,0,2,2,0,2,2,2,2,6110.417033,0,0,6067.889178,7173.099879,12135.77841,.6451613
80085120,"0102","20130104","201207","CO","80808",72122.462,70145.733,52607.98,58104.082,50620.624,-7,1,77,0,-1,1935,2,0,3,0,3,0,1,0,2,0,0,1,-1,2,-1,0,0,0,2741.117296,3485.391816,5482.234651,0
80085205,"0111","20130127","201207","MD","20754",123448.89,115470.96,105268.11,107834.95,114508.14,-7,1,45,0,-1,1967,3,0,1,0,2,0,0,0,2,1,0,-1,-1,1,-1,3802.052201,0,0,3712.752506,4407.373233,7425.504637,.8709677
80086417,"0111","20130124","201207","TN","37097",22500,22500,22500,22500,22500,22500,0,24,0,-1,1988,1,0,1,0,3,0,1,0,2,1,0,-1,-1,1,-1,8122.051407,0,0,8231.501852,9859.995574,16463.00312,.7741935
80091729,"0111","20130130","201207","MA","01852",80000,80000,80000,80000,80000,80000,0,59,0,-1,1953,3,0,1,0,3,0,1,0,2,0,0,-1,-1,1,-1,6667.802024,0,0,6377.075096,7481.991661,12754.1502,.9677419
80091756,"0111","20130209","201207","NY","12054",160000,160000,160000,160000,160000,160000,0,46,1,-1,-7,3,0,3,0,3,0,0,0,2,0,0,1,-1,2,-1,6198.626583,0,0,6022.647428,7110.365331,12045.29467,0
80092669,"0111","20130122","201207","NY","11933",12000,12000,12000,12000,12000,12000,0,71,0,-1,1941,1,0,3,0,3,0,0,0,1,0,0,1,-1,2,-1,5160.249431,0,0,4921.326912,6113.157033,9842.653959,.7096774
80095491,"0111","20130122","201207","DE","19713",40738.616,40568.383,49556.84,35812.169,36213.619,-8,1,66,0,-1,1946,2,0,3,0,3,0,0,0,1,0,0,1,-1,2,-1,1838.571553,0,0,1758.848108,2210.110226,3517.696172,.7096774
80095585,"0111","20130218","201207","MO","64152",65000,65000,65000,65000,65000,65000,0,56,0,-1,1956,3,0,1,0,3,0,1,0,2,0,0,-1,-1,1,-1,1488.931322,2110.7151,0,1442.640123,1620.502354,2885.280246,.6428571
80096395,"0111","20130201","201207","MN","56323",49054.138,29123.121,29708.819,31093.951,34843.389,-7,1,59,0,-1,1953,1,0,1,0,3,0,0,0,2,0,0,-1,-1,1,-1,97851.67024,0,0,93200.82994,111756.7857,186401.6599,0
80098577,"0111","20130208","201207","IL","60073",45000,45000,45000,45000,45000,45000,0,44,0,-1,1968,3,0,1,0,2,0,1,0,2,0,1,-1,-1,1,-1,8251.598639,0,0,8106.580744,9575.854043,16213.16125,0
80100265,"0111","20130201","201207","TX","76065",41248.572,163900.28,192862.89,82819.224,24261.979,-7,1,58,0,-1,1954,3,0,3,0,3,0,1,0,2,0,0,1,-1,2,-1,4521.084546,0,0,4323.957965,5073.143556,8647.915933,0
80102009,"0111","20130129","201207","CA","94062",50000,50000,50000,50000,50000,50000,0,74,0,-1,1938,1,0,3,0,3,0,0,0,1,0,0,1,-1,2,-1,17697.67119,0,0,16675.30958,21049.06179,33350.61962,.9354839
80104713,"0111","20130127","201207","MI","48334",24000,24000,24000,24000,24000,24000,0,27,0,-1,1985,3,0,1,0,3,0,1,0,2,1,0,-1,-1,1,-1,16788.12537,0,0,16500.42481,18472.68717,33000.85109,.8709677
80104870,"0111","20130209","201207","ME","04106",72000,72000,72000,72000,72000,72000,0,44,0,-1,1968,3,0,1,0,3,0,0,0,1,0,0,-1,-1,1,-1,8865.802783,0,0,8804.097734,10407.68388,17608.19554,0
80108627,"0111","20130303","201207","PA","19150",60000,60000,60000,60000,60000,60000,0,62,0,-1,1950,2,0,1,0,2,0,0,0,4,0,0,-1,-1,1,-1,11075.97702,15602.16358,0,10635.44879,12971.54058,21270.89629,0
80111953,"0111","20130116","201207","VA","23103",58341.841,55902.808,73262.501,65754.37,63405.561,-8,1,81,0,2,1931,2,0,2,0,3,0,0,0,1,0,0,2,2,2,1,1891.057423,0,0,1809.058105,2273.202443,3618.116164,.516129
80112428,"0111","20130314","201207","NY","11704",3583.5713,79880.307,12459.136,33686.891,79114.853,-7,1,89,0,-1,1923,1,0,3,0,3,0,1,0,1,0,0,1,-1,2,-1,6485.777421,9730.209715,0,6234.874136,7831.9247,12469.74812,.4516129
80112491,"0111","20130112","201207","MO","65804",31223.849,34104.486,37485.436,39343.105,34485.212,-7,1,59,0,-1,1953,3,0,3,0,3,0,0,0,1,0,0,1,-1,2,-1,1373.468111,0,0,1351.932635,1528.113099,2703.865226,.3870968
80113117,"0111","20130122","201207","CA","95409",35981.832,76525.275,47489.733,180756.96,13137.658,-8,1,84,0,-1,1928,3,0,3,0,3,0,1,0,2,0,0,1,-1,2,-1,9145.82228,0,0,8653.02263,10687.30597,17306.0455,.7096774
80120599,"0111","20130129","201207","CA","91423",120000,120000,120000,120000,120000,120000,0,32,0,2,1980,3,0,1,1,3,0,0,0,2,1,0,2,2,2,-8,26083.67041,0,0,25398.99387,30369.64953,50797.98921,.9354839
80121886,"0111","20130226","201207","IA","50545",89222.137,121101.92,219159.4,135353.73,57460.228,-7,1,52,0,-1,1960,2,0,1,0,3,0,1,0,2,0,0,-1,-1,1,-1,13477.03965,19240.8108,0,12845.85669,15767.31868,25691.71331,.9285714
80123460,"0111","20130201","201207","OK","74063",25000,25000,25000,25000,25000,25000,0,52,0,-1,1960,1,0,1,0,3,0,0,0,2,0,0,-1,-1,1,-1,6717.449715,0,0,6398.172734,7672.026305,12796.34547,0
80124476,"0111","20130208","201207","OR","97212",70000,70000,70000,70000,70000,70000,0,43,0,-1,1969,3,0,1,0,3,0,1,0,2,1,0,-1,-1,1,-1,7319.483876,0,0,7154.744285,8405.326096,14309.48886,0
80126733,"0102","20130104","201207","WA","99323",46000,46000,46000,46000,46000,46000,0,56,0,-1,1956,2,0,1,0,3,0,0,0,2,0,0,-1,-1,1,-1,0,0,0,6289.2384,7628.768587,12578.47647,0
80130440,"0111","20130122","201207","CA","92064",175000,175000,175000,175000,175000,175000,0,68,0,-1,1944,3,0,3,0,3,0,0,0,3,1,0,1,-1,2,-1,8436.584727,0,0,8108.954893,10077.99353,16217.90975,.7096774
80131232,"0102","20130104","201207","DC","20011",150000,150000,150000,150000,150000,150000,0,46,0,-1,1966,3,0,1,0,3,0,1,0,2,0,0,-1,-1,1,-1,0,0,0,4235.952693,4969.890152,8471.905388,0
80133003,"0111","20130322","201207","NM","88046",26329.061,16465.189,100470.39,131320.6,18411.653,-7,1,69,0,-1,1943,3,0,3,0,3,0,0,0,1,0,0,1,-1,2,-1,1821.923782,2752.005238,0,1772.483309,2167.783189,3544.966609,.7096774
80134671,"0111","20130213","201207","MO","63636",65212.261,59820.395,64284.73,50161.678,51538.628,-7,1,41,0,-1,1971,1,0,1,0,3,0,0,0,3,2,0,-1,-1,1,-1,5430.562026,7882.200687,0,5355.692626,6156.452031,10711.38547,.4642857
80139377,"0111","20130117","201207","TX","78416",28000,28000,28000,28000,28000,28000,0,82,0,-1,1930,2,0,3,0,3,0,1,0,2,0,0,1,-1,2,-1,2597.420223,0,0,2478.967129,3152.062029,4957.934311,.5483871
80139461,"0111","20130225","201207","IL","60008",12600,12600,12600,12600,12600,12600,0,90,0,-1,1922,1,0,3,0,3,0,1,0,1,0,0,1,-1,2,-1,63760.84199,95656.43776,0,61294.24413,76994.64242,122588.4868,.8928571
80141428,"0111","20130116","201207","GA","31411",75000,75000,75000,75000,75000,75000,0,77,0,-1,1935,3,0,3,0,3,0,1,0,2,0,0,1,-1,2,-1,593.4024161,0,0,575.6952347,669.9054465,1151.390485,.516129
80144018,"0111","20130310","201207","SC","29223",15000,15000,15000,15000,15000,15000,0,57,0,-1,1955,1,0,3,0,3,0,1,0,1,0,0,1,-1,2,-1,8431.060529,12001.21177,0,8094.459857,9815.207196,16188.9193,.3225806
80145930,"0111","20130209","201207","AR","72114",10080,10080,10080,10080,10080,10080,0,64,0,1,1948,1,0,4,0,2,0,0,0,2,0,0,2,2,2,-1,8172.306964,0,0,7823.159175,9432.257396,15646.31781,0
80147194,"0111","20130122","201207","VA","22980",50000,50000,50000,50000,50000,50000,0,67,0,2,1945,3,0,2,0,3,0,0,0,1,0,0,2,2,2,1,1687.276032,0,0,1641.489415,2007.574989,3282.978823,.7096774
80147532,"0111","20130118","201207","NM","87109",20000,20000,20000,20000,20000,20000,0,26,0,-1,1986,2,0,1,0,1,0,0,0,1,0,0,-1,-1,1,-1,12834.04832,0,0,12221.58684,13301.15507,24443.17477,.5806451
80150970,"0102","20130104","201207","OR","97477",19000,19000,19000,19000,19000,19000,0,76,0,-1,1936,1,0,3,0,3,0,0,0,1,0,0,1,-1,2,-1,0,0,0,3710.106459,4608.607354,7420.213021,0
80151650,"0111","20130127","201207","OH","45208",600000,600000,600000,600000,600000,600000,0,60,0,-1,1952,3,0,1,0,3,0,0,0,2,0,0,-1,-1,1,-1,1395.649795,0,0,1373.766518,1552.792319,2747.532993,.8709677
80154400,"0111","20130212","201207","MA","01854",20000,20000,20000,20000,20000,20000,0,81,0,-1,1931,1,0,3,0,3,0,1,0,2,0,0,1,-1,2,-1,6435.661259,9655.023545,0,6186.696725,7771.406743,12373.3933,.4285714
80159115,"0111","20130128","201207","RI","02904",7200,7200,7200,7200,7200,7200,0,54,0,1,1958,1,0,4,0,3,0,0,0,1,0,0,2,2,2,-1,9773.779494,0,0,9309.236707,11162.67282,18618.47342,.9032258
80166814,"0111","20130311","201207","TX","78250",37085.165,27564.71,43950.427,37922.516,31263.223,-8,1,62,0,-1,1950,3,0,1,0,3,0,0,0,1,0,0,-1,-1,1,-1,4170.484803,5977.069782,0,4052.084641,4783.909816,8104.169154,.3548387
80171975,"0111","20130202","201207","GA","30504",100000,100000,100000,100000,100000,100000,0,62,0,-1,1950,1,0,1,0,3,0,0,0,2,0,0,-1,-1,1,-1,2215.364352,0,0,2137.672673,2454.094596,4275.345347,0
80173027,"0111","20130213","201207","KY","40065",40000,40000,40000,40000,40000,40000,0,23,0,-1,1989,3,0,1,0,3,0,1,0,1,0,0,-1,-1,1,-1,2989.12599,4101.386222,0,3017.801954,3497.618726,6035.603848,.4642857
80173166,"0111","20130127","201207","TN","37411",47785.557,28274.786,36169.371,29171.06,36953.298,-8,1,53,0,1,1959,1,0,4,0,2,0,0,0,2,0,0,2,2,2,-1,14910.18286,0,0,14459.8894,16691.46359,28919.77782,.8709677
80173933,"0102","20130104","201207","NJ","08360",56000,56000,56000,56000,56000,56000,0,65,0,-1,1947,1,0,3,0,3,0,0,0,2,0,0,1,-1,2,-1,0,0,0,4878.112479,6059.477076,9756.225092,0
80177922,"0111","20130116","201207","NY","13607",9600,9600,9600,9600,9600,9600,0,58,0,1,1954,1,0,4,0,3,0,0,0,1,0,0,2,2,2,-1,9955.731682,0,0,9482.5408,11370.48115,18965.08161,.516129
80178611,"0111","20130130","201207","NC","27503",22000,22000,22000,22000,22000,22000,0,30,0,2,1982,1,0,4,0,3,0,0,0,2,1,0,2,2,2,2,19653.69602,0,0,18989.14245,22693.56706,37978.2866,.9677419
80179337,"0111","20130208","201207","MA","01701",43174.609,47419.732,32346.97,46273.642,31002.283,-7,1,68,0,-1,1944,2,0,3,0,3,0,1,0,2,0,0,1,-1,2,-1,3830.736551,0,0,3656.039137,4648.735355,7312.078352,0
80179711,"0102","20130104","201207","KY","42211",47000,47000,47000,47000,47000,47000,0,66,0,-1,1946,3,0,3,0,3,0,0,0,1,0,0,1,-1,2,-1,0,0,0,546.9674319,640.4586992,1093.934861,0
80182953,"0102","20130104","201207","WV","25526",156743.36,196102.65,246712.56,191597.94,204015.08,-7,1,57,0,-1,1955,1,0,3,0,3,0,0,0,2,0,0,1,-1,2,-1,0,0,0,6424.592829,7703.706548,12849.18566,0
80183101,"0111","20130220","201207","IA","52144",87457.396,89436.724,81093.879,99410.219,78758.31,-7,1,46,0,-1,1966,3,0,1,0,3,0,1,0,2,4,0,-1,-1,1,-1,7284.968781,10182.79208,0,6967.332388,8174.519201,13934.66478,.7142857
80183455,"0111","20130310","201207","WA","98021",250000,250000,250000,250000,250000,250000,0,42,0,-1,1970,3,0,1,0,3,0,0,0,2,2,0,-1,-1,1,-1,6640.846041,9578.827315,0,6594.626455,7795.77755,13189.25296,.3225806
80185057,"0111","20130208","201207","NC","27295",56623.539,65900.808,79942.498,30758.232,85518.315,-7,1,55,0,1,1957,2,0,4,0,3,0,1,0,2,0,0,2,2,2,-1,8481.428524,0,0,8084.209751,9922.75677,16168.41946,0
80185374,"0111","20130302","201207","IL","60624",18000,18000,18000,18000,18000,18000,0,62,0,-1,1950,1,0,1,0,2,0,0,0,2,0,0,-1,-1,1,-1,11423.77012,16146.58053,0,10935.70915,13185.00892,21871.41754,0
80185691,"0111","20130122","201207","OH","44425",13496.916,18634.098,40932.193,9827.1874,16842.595,-7,1,71,0,-1,1941,2,0,3,0,3,0,0,0,1,0,0,1,-1,2,-1,620.7558285,0,0,601.6073192,723.760172,1203.214623,.7096774
80186773,"0111","20130211","201207","WV","25419",90000,90000,90000,90000,90000,90000,0,65,0,-1,1947,2,0,1,0,3,0,1,0,2,0,0,-1,-1,1,-1,2615.60427,3935.6654,0,2496.321908,3174.129018,4992.64387,.3928571
80187800,"0111","20130125","201207","IN","47355",100000,100000,100000,100000,100000,100000,0,66,0,2,1946,3,0,2,0,3,0,1,0,2,0,0,2,2,2,1,598.6106429,0,0,580.7480476,675.7851318,1161.496111,.8064516
80188263,"0102","20130104","201207","MD","21801",115000,115000,115000,115000,115000,115000,0,36,0,-1,1976,3,0,1,0,3,0,1,0,1,3,0,-1,-1,1,-1,0,0,0,6398.904448,7517.372586,12797.80916,0
80191021,"0111","20130113","201207","TN","37128",70000,70000,70000,70000,70000,70000,0,29,0,-1,1983,3,0,1,0,3,0,1,0,1,0,0,-1,-1,1,-1,1857.882985,0,0,1826.044172,2044.307534,3652.088508,.4193548
80192895,"0111","20130202","201207","PA","17086",56550.571,66641.409,53728.896,59159.686,60848.044,-7,1,65,0,-1,1947,1,0,3,0,3,0,0,0,1,0,0,1,-1,2,-1,5075.522461,0,0,4840.522849,6012.784119,9681.045832,0
80195104,"0111","20130213","201207","OH","43302",22000,22000,22000,22000,22000,22000,0,23,0,-1,1989,2,0,1,0,3,0,0,0,1,0,0,-1,-1,1,-1,71067.5707,98866.73699,0,71674.87856,85883.432,143349.752,.4642857
80195270,"0111","20130312","201207","OH","44333",100000,100000,100000,100000,100000,100000,0,57,0,-1,1955,3,0,1,0,3,0,1,0,2,0,0,-1,-1,1,-1,1512.977752,2144.803416,0,1465.938944,1646.673673,2931.877888,.3870968
80196017,"0111","20130226","201207","MA","01040",25000,25000,25000,25000,25000,25000,0,70,0,-1,1942,1,0,3,0,3,0,0,0,1,0,0,1,-1,2,-1,5120.375738,7673.948674,0,4883.299394,6065.920141,9766.598923,.9285714
80198150,"0102","20130105","201207","GA","30043",125000,125000,125000,125000,125000,125000,0,49,0,-1,1963,2,0,1,0,3,0,0,0,3,1,0,-1,-1,1,-1,0,0,0,1912.103284,2220.566084,3824.206469,0
80198365,"0111","20130212","201207","MA","02138",65000,65000,65000,65000,65000,65000,0,70,0,-1,1942,3,0,3,0,3,0,1,0,1,0,0,1,-1,2,-1,2646.113491,3898.207173,0,2534.00394,3079.868604,5068.007949,.4285714
80201304,"0111","20130225","201207","NY","10710",35000,35000,35000,35000,35000,35000,0,63,0,-1,1949,1,0,3,0,3,0,0,0,2,0,0,1,-1,2,-1,90506.65166,128700.5163,0,86204.91636,103368.0104,172409.8328,.8928571
80202561,"0111","20130313","201207","VA","23803",12000,12000,12000,12000,12000,12000,0,40,0,-1,1972,2,0,4,0,2,0,0,0,1,4,0,2,1,2,-1,12739.27325,18060.70018,0,12502.39601,15268.40781,25004.79101,.4193548
80203643,"0111","20130209","201207","OR","97202",32000,32000,32000,32000,32000,32000,0,71,0,-1,1941,3,0,3,0,3,0,0,0,1,0,0,1,-1,2,-1,1854.493867,0,0,1804.169559,2206.536118,3608.339109,0
80204453,"0111","20130322","201207","PA","18301",110000,110000,110000,110000,110000,110000,0,43,0,-1,1969,3,0,1,0,3,0,1,0,2,2,0,-1,-1,1,-1,9549.625957,13434.22728,0,9334.692568,10966.30878,18669.38551,.7096774
80208572,"0111","20130116","201207","MD","20906",40000,40000,40000,40000,40000,40000,0,59,0,-1,1953,3,0,1,0,3,0,0,0,1,0,0,-1,-1,1,-1,4179.373067,0,0,4060.720566,4794.105429,8121.441005,.516129
80208684,"0111","20130206","201207","GA","30650",44811.171,35945.747,67724.759,32487.998,104412.08,-7,1,61,0,-1,1951,2,0,3,0,3,0,0,0,2,0,0,1,-1,2,-1,1975.509061,0,0,1912.103284,2220.566084,3824.206469,0
